iter	Passed	Remaining
619	1033	633
620	1034	631
621	1035	629
622	1037	627
623	1038	625
624	1041	625
625	1042	623
626	1044	621
627	1045	619
628	1046	617
629	1047	615
630	1048	613
631	1050	611
632	1051	609
633	1052	607
634	1053	605
635	1055	604
636	1057	602
637	1058	600
638	1059	598
639	1061	596
640	1062	595
641	1064	593
642	1066	592
643	1067	590
644	1071	589
645	1073	588
646	1074	586
647	1075	584
648	1076	582
649	1078	580
650	1079	578
651	1080	576
652	1081	574
653	1082	572
654	1085	572
655	1087	570
656	1088	568
657	1089	566
658	1090	564
659	1091	562
660	1093	560
661	1094	558
662	1095	556
663	1096	555
664	1098	553
665	1100	552
666	1101	550
667	1103	548
668	1104	546
669	1105	544
670	1106	542
671	1107	540
672	1109	538
673	1110	536
674	1111	535
675	1112	533
676	1115	532
677	1116	530
678	1117	528
679	1118	526
680	1119	524
681	1120	522
682	1122	520
683	1123	519
684	1124	517
685	1125	515
686	1126	513
687	1129	512
688	1130	510
689	1132	508
690	1133	506
691	1134	504
692	1135	503
693	1136	501
694	1138	499
695	1139	497
696	1140	495
697	1141	494
698	1144	492
699	1145	491
700	1147	489
701	1148	487
702	1149	485
703	1150	483
704	1151	481
705	1152	480
706	1153	478
707	1155	476
708	1156	474
709	1158	473
710	1159	471
711	1161	469
712	1162	467
713	1163	466
714	1165	464
715	1166	462
716	1168	461
717	1169	459
718	1170	457
719	1172	455
720	1174	454
721	1175	452
722	1177	450
723	1178	449
724	1179	447
725	1180	445
726	1181	443
727	1183	442
728	1184	440
729	1185	438
730	1188	437
731	1190	435
732	1191	434
733	1192	432
734	1193	430
735	1195	428
736	1196	426
737	1197	425
738	1198	423
739	1200	421
740	1204	420
741	1205	419
742	1206	417
743	1207	415
744	1208	413
745	1210	412
746	1211	410
747	1212	408
748	1214	406
749	1215	405
750	1216	403
751	1219	402
752	1220	400
753	1221	398
754	1222	396
755	1224	395
756	1225	393
757	1226	391
758	1227	389
759	1229	388
760	1230	386
761	1232	385
762	1234	383
763	1235	381
764	1236	379
765	1237	378
766	1238	376
767	1239	374
768	1240	372
769	1242	371
770	1243	369
771	1244	367
772	1248	366
773	1249	364
774	1250	363
775	1251	361
776	1252	359
777	1254	357
778	1255	356
779	1256	354
780	1257	352
781	1258	350
782	1260	349
783	1261	347
784	1263	346
785	1265	344
786	1266	342
787	1267	341
788	1269	339
789	1270	337
790	1271	336
791	1273	334
792	1274	332
793	1275	330
794	1277	329
795	1278	327
796	1280	326
797	1281	324
798	1282	322
799	1284	321
800	1285	319
801	1286	317
802	1287	315
803	1288	314
804	1290	312
805	1292	311
806	1293	309
807	1295	307
808	1296	306
809	1297	304
810	1298	302
811	1299	300
812	1301	299
813	1302	297
814	1303	295
815	1304	294
816	1307	292
817	1308	291
818	1309	289
819	1311	287
820	1312	286
821	1313	284
822	1314	282
823	1315	281
824	1316	279
825	1318	277
826	1319	276
827	1322	274
828	1323	272
829	1324	271
830	1325	269
831	1326	267
832	1327	266
833	1329	264
834	1330	262
835	1331	261
836	1332	259
837	1334	257
838	1336	256
839	1338	254
840	1339	253
841	1340	251
842	1341	249
843	1342	248
844	1343	246
845	1345	244
846	1346	243
847	1348	241
848	1350	240
849	1352	238
850	1353	237
851	1355	235
852	1356	233
853	1357	232
854	1358	230
855	1360	228
856	1361	227
857	1362	225
858	1364	223
859	1366	222
860	1367	220
861	1368	219
862	1370	217
863	1371	215
864	1372	214
865	1373	212
866	1375	210
867	1376	209
868	1378	207
869	1379	206
870	1381	204
871	1383	203
872	1384	201
873	1385	199
874	1386	198
875	1387	196
876	1388	194
877	1390	193
878	1391	191
879	1392	189
880	1394	188
881	1396	186
882	1397	185
883	1398	183
884	1400	181
885	1401	180
886	1402	178
887	1403	177
888	1405	175
889	1406	173
890	1407	172
891	1409	170
892	1411	169
893	1412	167
894	1413	165
895	1414	164
896	1416	162
897	1417	160
898	1418	159
899	1419	157
900	1421	156
901	1422	154
902	1426	153
903	1427	151
904	1428	149
905	1430	148
906	1432	146
907	1433	145
908	1435	143
909	1437	142
910	1440	140
911	1441	139
912	1442	137
913	1444	135
914	1445	134
915	1446	132
916	1448	131
917	1449	129
918	1450	127
919	1451	126
920	1453	124
921	1455	123
922	1456	121
923	1458	119
924	1459	118
925	1460	116
926	1461	115
927	1462	113
928	1464	111
929	1465	110
930	1466	108
931	1467	107
932	1470	105
933	1471	103
934	1472	102
935	1473	100
936	1475	99
937	1476	97
938	1477	95
939	1478	94
940	1479	92
941	1480	91
942	1482	89
943	1484	88
944	1486	86
945	1487	84
946	1488	83
947	1489	81
948	1490	80
949	1492	78
950	1493	76
951	1494	75
952	1496	73
953	1499	72
954	1501	70
955	1502	69
956	1504	67
957	1505	66
958	1506	64
959	1508	62
960	1509	61
961	1510	59
962	1514	58
963	1515	56
964	1517	55
965	1518	53
966	1520	51
967	1521	50
968	1522	48
969	1523	47
970	1525	45
971	1526	43
972	1528	42
973	1530	40
974	1531	39
975	1532	37
976	1533	36
977	1534	34
978	1535	32
979	1537	31
980	1538	29
981	1539	28
982	1541	26
983	1543	25
984	1544	23
985	1546	21
986	1547	20
987	1548	18
988	1550	17
989	1551	15
990	1553	14
991	1555	12
992	1556	10
993	1558	9
994	1559	7
995	1561	6
996	1562	4
997	1563	3
998	1564	1
999	1565	0
